English,Polish
abolish,znieść
abortion,poronienie
absence,brak
absent,nieobecny
absorb,absorbować
abstract,abstrakcyjny
absurd,absurdalny
abundance,obfitość
abuse,nadużywać
academy,akademia
accelerate,przyśpieszyć
accent,akcent
acceptance,przyjęcie
accessible,dostępny
accidentally,przypadkowo
accommodate,pomieścić
accomplish,osiągać
accomplishment,osiągnięcie
accordance,zgodność
accordingly,odpowiednio
accountability,odpowiedzialność
accountable,odpowiedzialny
accountant,księgowy
accounting,rachunkowość
accumulate,gromadzić
accumulation,akumulacja
accuracy,dokładność
accurately,dokładnie
accusation,oskarżenie
accused,oskarżony
acid,kwas
acquisition,nabytek
acre,akr
activate,aktywować
activation,aktywacja
activist,aktywista
acute,ostry
adaptation,dostosowanie
addiction,uzależnienie
additionally,Dodatkowo
adequate,odpowiedni
adequately,odpowiednio
adhere,przylegać
adjacent,przylegający
adjust,regulować
adjustment,modyfikacja
administer,administrować
administrative,administracyjny
administrator,administrator
admission,wstęp
adolescent,dorastający
adoption,przyjęcie
adverse,niekorzystny
advocate,rzecznik
aesthetic,estetyka
affection,sympatia
affordable,przystępny
aftermath,następstwa
aggression,agresja
agricultural,rolniczy
agriculture,rolnictwo
aide,doradca
aids,AIDS
albeit,aczkolwiek
alert,alarm
alien,obcy
align,wyrównywać
alignment,wyrównanie
alike,zarówno
allegation,zarzut
allege,twierdzić
allegedly,rzekomo
alliance,przymierze
allocate,przeznaczyć
allocation,przydział
allowance,dodatek
ally,sprzymierzyć
alongside,wzdłuż
altogether,całkowicie
aluminium,aluminium
amateur,amator
ambassador,ambasador
ambulance,ambulans
amend,poprawiać
amendment,poprawka
amid,pośród
amusing,zabawny
analogy,analogia
analyst,analityk
ancestor,przodek
anchor,kotwica
angel,anioł
animation,ożywienie
annually,rocznie
anonymous,anonimowy
anticipate,przewidywać
anxiety,Lęk
apology,przeprosiny
apparatus,aparat
appealing,pociągający
appetite,apetyt
applaud,klaskać
applicable,odpowiedni
applicant,petent
appoint,wyznaczać
appreciation,uznanie
appropriately,odpowiednio
arbitrary,arbitralny
architectural,architektoniczny
archive,archiwum
arena,arena
arguably,prawdopodobnie
arm,ramię
array,szyk
arrow,strzałka
articulate,artykułować
artwork,grafika
ash,popiół
aside,na bok
aspiration,dążenie
aspire,aspirować
assassination,zamach
assault,napaść
assemble,gromadzić się
assembly,montaż
assert,zapewniać
assertion,twierdzenie
asset,zaleta
assign,przydzielać
assistance,pomoc
assumption,założenie
assurance,pewność
assure,zapewniać
astonishing,zadziwiający
asylum,przytułek
atrocity,okrucieństwo
attachment,załącznik
attain,osiągać
attendance,frekwencja
attorney,adwokat
attribute,atrybut
auction,aukcja
audio,audio
audit,rewizja
authentic,autentyczny
authorize,autoryzować
auto,automatyczny
automatic,automatyczny
automatically,automatycznie
autonomy,autonomia
availability,dostępność
await,czekać na
awareness,świadomość
awkward,niezręczny
backdrop,zasłona
backing,poparcie
backup,kopia zapasowa
badge,odznaka
bail,kaucja
balanced,zrównoważony
ballet,balet
balloon,balon
ballot,balotować
banner,transparent
bare,goły
barely,ledwie
bargain,okazja
barrel,beczka
basement,piwnica
basket,koszyk
bass,bas
bat,nietoperz
battlefield,pole bitwy
bay,zatoka
beam,belka
beast,bestia
behalf,w imieniu
beloved,ukochany
bench,ławka
benchmark,reper
beneath,pod
beneficial,korzystny
beneficiary,beneficjant
beside,obok
besides,Oprócz
betray,zdradzać
bias,stronniczość
bid,oferta
bind,wiązać
biography,biografia
biological,biologiczny
bishop,biskup
bizarre,dziwaczny
blade,ostrze
blanket,koc
blast,podmuch
bleed,krwawić
blend,mieszanka
bless,błogosławić
blessing,błogosławieństwo
blow,cios
boast,przechwałki
bold,pogrubiony
bombing,bombardowanie
bonus,premia
booking,rezerwacja
boom,wysięgnik
boost,zwiększyć
bounce,odbić się
bound,zobowiązany
boundary,granica
bow,ukłon
breach,naruszenie
breakdown,załamanie
breakthrough,wyłom
breed,rasa
brick,cegła
briefly,krótko
broadband,Internet szerokopasmowy
broadcaster,nadawca
broadly,rozłożysto
browser,przeglądarka
brutal,brutalny
buck,bryknięcie
buddy,kumpel
buffer,bufor
bug,błąd
bulk,cielsko
burden,ciężar
bureaucracy,biurokracja
burial,pogrzeb
burst,pękać
cabin,kabina
cabinet,gabinet
calculation,obliczenie
canal,kanał
candle,świeca
canvas,płótno
capability,zdolność
capitalism,kapitalizm
capitalist,kapitalista
carbon,węgiel
cargo,ładunek
carriage,przewóz
carve,rzeźbić
casino,kasyno
casual,zwykły
casualty,wypadek
catalogue,katalog
cater,zaopatrywać
cattle,bydło
caution,ostrożność
cautious,ostrożny
cave,jaskinia
cease,przerwać
cemetery,cmentarz
certainty,pewność
certificate,certyfikat
challenging,wyzywający
chamber,izba
championship,mistrzostwo
chaos,chaos
characterize,charakteryzować
charm,czar
charming,uroczy
charter,czarter
chase,pościg
cheek,policzek
cheer,wiwat
choir,chór
chop,siekać
chronic,chroniczny
chunk,kawałek
circuit,okrążenie
circulate,cyrkulować
circulation,krążenie
citizenship,obywatelstwo
civic,obywatelski
civilian,cywil
civilization,cywilizacja
clarify,wyjaśniać
clarity,przejrzystość
clash,kolidować
classification,klasyfikacja
classify,klasyfikować
cleaning,czyszczenie
clerk,urzędnik
cliff,klif
cling,przylgnąć
clinic,klinika
clinical,kliniczny
clip,klips
closure,zamknięcie
cluster,grupa
coalition,koalicja
coastal,nadbrzeżny
cocktail,koktajl
cognitive,kognitywny
coincide,zbiec się
coincidence,zbieg okoliczności
collaborate,współpracować
collaboration,współpraca
collective,kolektyw
collector,kolektor
collision,kolizja
colonial,kolonialny
colony,kolonia
colourful,kolorowy
columnist,felietonista
combat,walka
comic,komiczny
commander,dowódca
commence,rozpocząć
commentary,komentarz
commentator,komentator
commerce,handel
commissioner,komisarz
commodity,towar
communist,komunistyczny
companion,towarzysz
comparable,porównywalny
comparative,porównawczy
compassion,współczucie
compel,zmusić
compelling,zniewalający
compensate,kompensować
compensation,odszkodowanie
competence,kompetencja
competent,kompetentny
compile,skompilować
complement,uzupełnienie
completion,ukończenie
complexity,złożoność
compliance,zgodność
complication,powikłanie
comply,zastosować się
compose,komponować
composer,kompozytor
composition,kompozycja
compound,mieszanina
comprehensive,wyczerpujący
comprise,zawierać
compromise,kompromis
compulsory,obowiązkowy
compute,obliczać
conceal,ukryć
concede,przyznać
